titleId,production_companies_name
tt0009150,D.W. Griffith Productions
tt0009150,Famous Players-Lasky Corporation
tt0009151,William Russell Productions Inc.
tt0009153,Universal Film Manufacturing Company
tt0009154,Diva Pictures
tt0009154,Goldwyn Pictures Corporation
tt0009159,Universal Film Manufacturing Company
tt0009168,Norma Talmadge Film Corporation
tt0009204,Astra Film
tt0009205,Metro Pictures Corporation
tt0009208,Mary Pickford Company
tt0009212,F-4 Picture Corp.
tt0009224,Paramount
tt0009224,Famous Players-Lasky Corporation
tt0009237,Astra Film
tt0009241,Mary Pickford Company
tt0009275,Perret Productions Inc.
tt0009289,Rita Jolivet Film Corporation
tt0009326,Mary Pickford Company
tt0009328,Paralta Plays Inc.
tt0009332,Universal Film Manufacturing Company
tt0009356,Maxwell Productions (I)
tt0009369,Mabel Normand Feature Film Company
tt0009379,Fox Film Corporation
tt0009400,Douglas Fairbanks Pictures
tt0009416,Filmindustri AB Skandia
tt0009440,Artcraft Pictures Corporation
tt0009447,Famous Players-Lasky Corporation
tt0009447,Jesse L. Lasky Feature Play Company
tt0009447,Paramount
tt0009473,Universal Film Manufacturing Company
tt0009559,D.W. Griffith Productions
tt0009568,Haut Commissariat à la Propagande
tt0009568,Gaumont
tt0009573,Fox Film Corporation
tt0009593,Triangle Film Corporation
tt0009626,American Film Company
tt0009626,Hallmark Pictures Corporation
tt0009634,Universal Film Manufacturing Company
tt0009652,Mary Pickford Company
tt0009682,National Film Corporation of America
tt0009686,Haworth Pictures Corporation
tt0009694,Svenska Biografteatern
tt0009701,Gaumont
tt0009733,Universal Film Manufacturing Company
tt0009733,Bluebird Photoplays
tt0009781,Artcraft Pictures Corporation
tt0009796,Famous Players-Lasky Corporation
tt0009816,Universal Film Manufacturing Company
tt0009816,Bluebird Photoplays
tt0009824,Grace Davison Productions
tt0009825,Western Photoplays Inc
tt0009855,Thomas H. Ince Corporation
tt0009872,American Film Company
tt0009878,Richard Oswald Produktion
tt0009893,Projektions-AG Union (PAGU)
tt0009900,Shipman-Curwood Company
tt0009900,Canadian Photoplays Ltd.
tt0009903,Universal Film Manufacturing Company
tt0009915,Paramount
tt0009915,Thomas H. Ince Corporation
tt0009931,Thomas H. Ince Corporation
tt0009937,Universal Film Manufacturing Company
tt0009962,Nazimova Productions
tt0009964,William S. Hart Productions
tt0009968,D.W. Griffith Productions
tt0009968,United Artists
tt0009976,Thomas H. Ince Corporation
tt0009987,Mary Pickford Company
tt0010008,International Film Service
tt0010008,Cosmopolitan Productions
tt0010040,Mary Pickford Company
tt0010060,Universal Pictures
tt0010071,Artcraft Pictures Corporation
tt0010085,Great Western Producing Company
tt0010089,Gaumont
tt0010102,Universal Film Manufacturing Company
tt0010103,Harry Garson Productions
tt0010112,Paramount
tt0010112,Artcraft Pictures Corporation
tt0010180,Narkompros
tt0010189,Western Photoplays Inc
tt0010193,First National Pictures
tt0010195,Paramount
tt0010208,Decla-Bioscop
tt0010208,Decla Film Gesellschaft Holz & Co.
tt0010229,Norma Talmadge Film Corporation
tt0010242,Anita Stewart Productions
tt0010242,Louis B. Mayer Productions
tt0010247,Svenska Biografteatern
tt0010255,United Artists
tt0010255,Douglas Fairbanks Pictures
tt0010267,Mary Pickford Company
tt0010281,Projektions-AG Union (PAGU)
tt0010298,Svenska Biografteatern
tt0010307,Pathé Frères
tt0010315,Famous Players-Lasky Corporation
tt0010323,Decla Film Gesellschaft Holz & Co.
tt0010352,Maurice Tourneur Productions
tt0010360,Fox Film Corporation
tt0010375,Bild- und Filmamt
tt0010393,Famous Players-Lasky Corporation
tt0010393,Paramount
tt0010405,Famous Players-Lasky Corporation
tt0010418,Paramount
tt0010443,Anita Stewart Productions
tt0010443,Louis B. Mayer Productions
tt0010446,Rolfe Photoplays
tt0010456,Projektions-AG Union (PAGU)
tt0010466,Paramount
tt0010466,Mayflower Photoplay Company
tt0010484,D.W. Griffith Productions
tt0010534,Brentwood Film Corporation
tt0010539,Metro Pictures Corporation
tt0010543,Paramount
tt0010554,Vitagraph Company of America
tt0010559,Decla-Bioscop
tt0010566,World Film
tt0010592,Norma Talmadge Film Corporation
tt0010596,Richard Oswald Produktion
tt0010598,Nordisk Film Denmark
tt0010600,Projektions-AG Union (PAGU)
tt0010616,Metro Pictures Corporation
tt0010635,Paramount
tt0010641,Invicta Film
tt0010662,D.W. Griffith Productions
tt0010663,Universal Film Manufacturing Company
tt0010694,Screen Classics Inc.
tt0010696,Universal Film Manufacturing Company
tt0010715,Allan Dwan Productions
tt0010715,Mayflower Photoplay Company
tt0010726,Decla-Bioscop
tt0010726,Decla Film Gesellschaft Holz & Co.
tt0010728,Fox Film Corporation
tt0010733,William S. Hart Productions
tt0010755,Svenska Biografteatern
tt0010761,Paramount
tt0010781,Astra Film
tt0010791,Haworth Pictures Corporation
tt0010800,Fox Film Corporation
tt0010806,D.W. Griffith Productions
tt0010821,Richard Oswald Produktion
tt0010825,Harry Garson Productions
tt0010825,Blanche Sweet Productions
tt0010832,Selznick Pictures Corporation
tt0010835,Paramount
tt0010844,Maurice Tourneur Productions
tt0010853,William S. Hart Productions
tt0010879,Douglas Fairbanks Pictures
tt0010879,United Artists
tt0010890,Universal Film Manufacturing Company
tt0010959,Famous Players-Lasky Corporation
tt0010962,Projektions-AG Union (PAGU)
tt0010962,Messter Film Berlin
tt0010965,Haworth Pictures Corporation
tt0010969,Thalman et Cie
tt0010969,International et Commercial de la Cinématographie (Thalman)
tt0010969,Société Générale pour le Développement
tt0011025,Universal Film Manufacturing Company
tt0011031,Helios Film
tt0011089,Famous Players-Lasky Corporation
tt0011091,Eminent Authors Pictures Inc
tt0011111,Robert Brunton Productions
