titleId,production_companies_country
tt0000591,FR
tt0000886,
tt0001175,
tt0001614,
tt0001790,
tt0001826,
tt0001993,
tt0002130,
tt0002199,
tt0002423,
tt0002445,
tt0002461,
tt0002514,
tt0002555,
tt0002588,
tt0002605,
tt0002646,
tt0002669,
tt0002798,
tt0002844,
tt0002898,
tt0002917,
tt0003015,
tt0003037,
tt0003159,
tt0003165,
tt0003367,
tt0003419,
tt0003489,
tt0003576,
tt0003657,
tt0003740,
tt0003871,US
tt0003883,
tt0003897,
tt0003930,
tt0003952,
tt0004026,DE
tt0004150,
tt0004181,
tt0004301,
tt0004384,
tt0004438,
tt0004465,
tt0004473,
tt0004490,
tt0004496,
tt0004525,
tt0004570,
tt0004631,
tt0004707,
tt0004712,
tt0004740,
tt0004761,
tt0004798,
tt0004816,
tt0004825,
tt0004838,
tt0004872,
tt0004873,
tt0004874,
tt0004885,
tt0004901,
tt0004942,
tt0004962,
tt0004972,
tt0004978,
tt0005041,
tt0005058,
tt0005078,
tt0005103,
tt0005149,
tt0005187,
tt0005190,
tt0005243,
tt0005250,
tt0005302,
tt0005326,
tt0005331,US
tt0005339,
tt0005393,
tt0005403,
tt0005464,
tt0005551,
tt0005558,
tt0005561,
tt0005566,
tt0005600,
tt0005613,
tt0005621,
tt0005682,
tt0005683,
tt0005822,
tt0005847,
tt0005862,
tt0005889,
tt0005929,
tt0005938,
tt0005951,
tt0005957,
tt0005958,
tt0005960,
tt0005980,
tt0006041,
tt0006096,
tt0006140,
tt0006206,
tt0006279,
tt0006318,
tt0006333,
tt0006343,
tt0006350,
tt0006352,
tt0006357,
tt0006359,
tt0006375,
tt0006386,
tt0006397,
tt0006408,
tt0006412,
tt0006428,
tt0006456,
tt0006462,
tt0006467,
tt0006488,
tt0006489,
tt0006505,
tt0006508,
tt0006509,
tt0006511,
tt0006517,
tt0006541,
tt0006556,
tt0006566,
tt0006568,
tt0006569,
tt0006570,US
tt0006583,US
tt0006592,
tt0006596,US
tt0006617,
tt0006618,
tt0006621,
tt0006629,US
tt0006637,
tt0006662,
tt0006696,
tt0006729,
tt0006736,
tt0006749,
tt0006753,
tt0006761,
tt0006763,
tt0006770,
tt0006777,
tt0006778,
tt0006780,
tt0006781,
tt0006809,
tt0006820,DE
tt0006824,
tt0006831,US
tt0006864,US
tt0006867,
tt0006872,
tt0006881,
tt0006884,
tt0006886,
tt0006914,
tt0006932,
tt0006933,
tt0006946,
tt0006956,
tt0006997,
tt0007011,
tt0007031,
tt0007047,
tt0007073,
tt0007082,
tt0007089,
tt0007111,
tt0007113,US
tt0007118,US
tt0007150,
tt0007154,
tt0007156,
tt0007161,
tt0007167,
tt0007183,
tt0007189,US
tt0007192,
tt0007199,
tt0007227,
tt0007243,US
tt0007257,
tt0007260,
tt0007265,
tt0007266,
tt0007274,
tt0007282,
tt0007309,
